,bad_bigram,V2,sentiment,genre,
4855,lot but,15,,,
4856,lot like,10,,,
4857,lot more,34,,,
4858,lot of,208,,,
4859,lot or,10,,,
4860,lot that,24,,,
4861,lot the,15,,,
4862,lots of,67,,,
4863,loud a,20,,,
4864,loud funny,15,,,
4865,loud i,10,,,
4866,loud moments,23,,,
4867,loud the,10,,,
4868,love and,10,,,
4869,love brad,9,,,
4870,love in,30,,,
4871,love interest,25,,,
4872,love it,29,positive,,
4873,love kevin,9,,,
4874,love natalie,14,,,
4875,love of,19,,,
4876,love or,10,,,
4877,love story,10,,,
4878,love the,20,positive,,
4879,love this,19,positive,,
4880,love will,15,,,
4881,love with,10,,,
4882,loved it,56,positive,,
4883,loved the,34,positive,,
4884,loved this,18,positive,,
4885,loves to,19,,,
4886,low expectations,15,negative,,
4887,low iq,10,,,
4888,low its,10,,,
4889,low point,9,,,
4890,low to,10,,,
4891,made a,49,,,
4892,made and,14,,,
4893,made but,15,,,
4894,made by,10,,,
4895,made for,24,,,
4896,made her,10,,,
4897,made him,8,,,
4898,made in,20,,,
4899,made me,114,,,
4900,made my,10,,,
4901,made no,10,,,
4902,made over,9,,,
4903,made the,25,,,
4904,made this,20,,,
4905,made to,10,,,
4906,main actors,15,,,
4907,main cast,10,,,
4908,main character,60,between,,
4909,main characters,25,,,
4910,maitre d,10,,,
4911,major car,10,,,
4912,majority of,15,,,
4913,make a,118,between,,
4914,make an,35,,,
4915,make any,20,,,
4916,make him,10,,,
4917,make his,15,,,
4918,make it,78,,,
4919,make me,20,,,
4920,make my,10,,,
4921,make no,15,,,
4922,make sense,30,negative,,
4923,make some,20,,,
4924,make the,55,,,
4925,make them,15,,,
4926,make this,15,,,
4927,make up,30,,,
4928,make us,20,,,
4929,make you,98,,,
4930,make your,10,,,
4931,makers of,9,,,
4932,makes a,25,,,
4933,makes burnt,10,,,
4934,makes for,20,,,
4935,makes him,15,,,
4936,makes it,45,,,
4937,makes much,10,,,
4938,makes no,15,,,
4939,makes the,48,,,
4940,makes you,50,,,
4941,making a,15,,,
4942,making it,20,,,
4943,making of,10,,,
4944,making us,8,,,
4945,malcolm rupert,10,,,
4946,man a,60,,,
4947,man and,20,,,
4948,man at,10,,,
4949,man he,10,,,
4950,man i,50,,,
4951,man in,29,,,
4952,man or,12,,,
4953,man the,10,,,
4954,man to,10,,,
4955,man who,60,,,
4956,man with,10,,,
4957,managed to,19,,,
4958,manages to,30,,,
4959,manos de,10,,,
4960,many jump,19,,,
4961,many laugh,10,,,
4962,many levels,15,,,
4963,many more,10,,,
4964,many negative,9,negative,,
4965,many of,57,,,
4966,many people,15,,,
4967,many point,10,,,
4968,many scenes,15,,,
4969,many things,15,,,
4970,many times,30,,,
4971,mark and,10,,,
4972,mark wahlberg,273,,,
4973,mark wahlbergs,20,,,
4974,marks a,10,,,
4975,masters the,7,,,
4976,material is,10,,,
4977,matinee price,9,,,
4978,matt manfredi,15,,,
4979,matter what,10,,,
4980,matthew rhys,15,,,
4981,may appreciate,10,between,,
4982,may be,96,,,
4983,may have,29,,,
4984,may not,18,negative,,
4985,may of,10,,,
4986,may only,10,,,
4987,maya cruz,10,,,
4988,maybe a,34,,,
4989,maybe even,15,,,
4990,maybe he,10,,,
4991,maybe not,14,,,
4992,mayron wahlberg,10,,,
4993,me  ther,10,,,
4994,me a,418,,,
4995,me after,20,,,
4996,me and,177,,,
4997,me any,15,,,
4998,me as,47,,,
4999,me at,10,,,
5000,me because,15,,,
5001,me but,40,,,
5002,me de,34,,,
5003,me falls,10,,,
5004,me far,10,,,
5005,me feel,25,,,
5006,me feeling,10,between,,
5007,me go,70,,,
5008,me hope,15,between,,
5009,me i,517,,,
5010,me in,142,,,
5011,me into,14,,,
5012,me is,207,,,
5013,me it,74,,,
5014,me its,15,,,
5015,me jump,10,,,
5016,me laugh,79,,,
5017,me more,25,,,
5018,me movies,9,,,
5019,me norm,10,,,
5020,me now,9,,,
5021,me of,272,,,
5022,me on,84,,,
5023,me out,55,,,
5024,me sad,17,,,
5025,me so,63,,,
5026,me some,10,,,
5027,me that,24,,,
5028,me the,155,,,
5029,me these,10,,,
5030,me think,15,,,
5031,me this,24,,,
5032,me to,114,,,
5033,me was,23,,,
5034,me when,10,,,
5035,me who,15,,,
5036,me why,10,,,
5037,me with,40,,,
5038,me wonder,10,between,,
5039,me you,25,,,
5040,meal  th,10,,,
5041,meal cooper,10,,,
5042,mean a,10,,,
5043,mean i,30,,,
5044,mean it,15,,,
5045,mean its,10,,,
5046,mean spirited,10,,,
5047,mean the,10,,,
5048,meant to,10,,,
5049,mediocre a,15,negative,,
5050,mediocre film,15,negative,,
5051,mediocre horror,10,negative,,
5052,mediocre movie,10,negative,,
5053,mediocrity in,7,negative,,
5054,meets a,25,,,
5055,meets an,15,,,
5056,meets the,11,,,
5057,men an,10,,,
5058,men who,15,,,
5059,menears script,8,,,
5060,mental illness,15,,,
5061,mess of,10,negative,,
5062,mess that,14,negative,,
5063,mess with,10,negative,,
5064,message but,10,,,
5065,message i,25,,,
5066,message is,20,,,
5067,met een,17,,,
5068,metacritic heeft,8,,,
5069,metaphor for,15,,,
5070,method to,10,,,
5071,miami beach,10,,,
5072,miami to,10,,,
5073,miami vice,10,,,
5074,michael kalesniko,10,,,
5075,michel and,10,,,
5076,michelin guide,14,,,
5077,michelin star,103,,,
5078,michelin stars,30,,,
5079,michi yukiyoshi,10,,,
5080,middle of,38,,,
5081,might as,10,,,
5082,might be,29,,,
5083,might find,8,,,
5084,might have,30,,,
5085,might like,10,,,
5086,might make,10,,,
5087,might say,10,,,
5088,might seem,10,,,
5089,mildly entertaining,28,between,,
5090,miller and,29,,,
5091,miller are,10,,,
5092,miller daniel,9,,,
5093,miller was,15,,,
5094,miller who,10,,,
5095,million and,8,,,
5096,million budget,8,,,
5097,millions of,10,,,
5098,mind but,10,,,
5099,mind game,10,,,
5100,minor characters,10,,,
5101,minute or,10,,,
5102,minute run,14,,,
5103,minute runtime,10,,,
5104,minutes and,10,,,
5105,minutes but,9,,,
5106,minutes i,29,,,
5107,minutes in,9,,,
5108,minutes it,9,,,
5109,minutes of,54,,,
5110,minutes or,9,,,
5111,minutes that,9,,,
5112,minutes we,19,,,
5113,minutes were,12,,,
5114,minutes when,9,,,
5115,miserable and,10,negative,,
5116,miss a,10,negative,,
5117,miss comedy,10,,,
5118,miss the,15,,,
5119,missing in,15,,,
5120,missing twin,9,,,
5121,mission to,10,,,
5122,mix of,14,,,
5123,modern feel,7,,,
5124,mom was,10,,,
5125,moment and,10,,,
5126,moment in,10,,,
5127,moment to,10,,,
5128,moments  ,20,,,
5129,moments and,30,,,
5130,moments are,15,,,
5131,moments but,43,,,
5132,moments here,10,,,
5133,moments i,60,,,
5134,moments in,28,,,
5135,moments it,10,,,
5136,moments of,19,,,
5137,moments that,40,,,
5138,moments to,14,,,
5139,moments were,10,,,
5140,moments where,20,,,
5141,money  th,14,,,
5142,money and,20,,,
5143,money at,15,,,
5144,money back,15,,,
5145,money do,10,,,
5146,money for,15,,,
5147,money i,20,,,
5148,money on,15,,,
5149,money to,10,,,
5150,montana woman,10,,,
5151,month of,10,,,
5152,more  ,25,,,
5153,more and,19,,,
5154,more complicated,10,,,
5155,more depth,9,,,
5156,more engaging,10,between,,
5157,more fun,15,between,,
5158,more galling,9,negative,,
5159,more heart,10,,,
5160,more i,65,,,
5161,more in,50,,,
5162,more interesting,25,between,,
5163,more like,19,,,
5164,more modern,6,,,
5165,more of,94,between,,
5166,more on,20,,,
5167,more out,10,,,
5168,more profanity,10,negative,,
5169,more scenes,10,,,
5170,more than,178,,,
5171,more they,10,,,
5172,more this,10,,,
5173,more time,20,,,
5174,more to,25,,,
5175,most comedies,10,,,
5176,most definitely,10,between,,
5177,most departments,9,,,
5178,most horror,20,,,
5179,most in,20,,,
5180,most interesting,10,,,
5181,most likely,10,,,
5182,most of,173,,,
5183,most part,38,,,
5184,most people,8,,,
5185,most ridiculous,10,negative,,
5186,most the,10,,,
5187,mostly in,10,,,
5188,mostly pretty,9,between,,
5189,mount fuji,15,,,
5190,move and,9,,,
5191,move in,10,,,
5192,moved the,10,,,
5193,moves on,10,,,
5194,moves to,10,,,
5195,movie  a,15,,,
5196,movie  bes,10,,,
5197,movie  bradle,10,,,
5198,movie  ho,10,,,
5199,movie  jus,10,,,
5200,movie  laughe,10,,,
5201,movie  wha,10,,,
5202,movie a,304,,,
5203,movie about,47,,,
5204,movie all,14,,,
5205,movie and,117,,,
5206,movie any,15,,,
5207,movie anyway,10,,,
5208,movie as,29,,,
5209,movie be,35,,,
5210,movie because,15,,,
5211,movie begins,9,,,
5212,movie burnt,14,,,
5213,movie but,138,,,
5214,movie can,10,,,
5215,movie could,15,,,
5216,movie definitely,10,,,
5217,movie did,15,between,,
5218,movie do,50,,,
5219,movie does,35,,,
5220,movie doesnt,30,between,,
5221,movie entertaining,10,positive,,
5222,movie even,15,,,
5223,movie ever,19,,,
5224,movie experience,10,between,,
5225,movie fans,10,,,
5226,movie food,10,,,
5227,movie for,54,,,
5228,movie from,25,,,
5229,movie funny,8,,,
5230,movie gets,9,,,
5231,movie go,40,,,
5232,movie goes,10,,,
5233,movie got,9,,,
5234,movie had,28,,,
5235,movie has,24,between,,
5236,movie he,15,,,
5237,movie here,10,,,
5238,movie however,10,between,,
5239,movie i,729,,,
5240,movie if,15,,,
5241,movie ignore,8,,,
5242,movie im,10,,,
5243,movie in,35,,,
5244,movie is,353,,,
5245,movie it,73,,,
5246,movie its,30,,,
5247,movie itself,9,,,
5248,movie ive,29,,,
5249,movie looks,24,,,
5250,movie made,19,,,
5251,movie make,20,,,
5252,movie makes,15,,,
5253,movie much,10,,,
5254,movie my,19,,,
5255,movie no,48,,,
5256,movie not,33,,,
5257,movie nothing,10,between,,
5258,movie of,43,,,
5259,movie on,23,,,
5260,movie only,10,,,
5261,movie quickly,10,,,
5262,movie really,27,,,
5263,movie relies,10,,,
5264,movie reviews,10,,,
5265,movie shame,10,negative,,
5266,movie she,10,,,
5267,movie should,10,,,
5268,movie so,40,,,
5269,movie some,10,,,
5270,movie starring,9,,,
5271,movie sucks,9,,,
5272,movie than,15,,,
5273,movie that,169,,,
5274,movie thats,10,,,
5275,movie the,116,,,
5276,movie they,10,,,
5277,movie this,20,,,
5278,movie though,15,,,
5279,movie thought,8,,,
5280,movie to,78,,,
5281,movie tries,15,between,,
5282,movie very,14,,,
5283,movie want,10,,,
5284,movie was,234,between,,
5285,movie wasnt,10,negative,,
5286,movie we,45,,,
5287,movie well,15,,,
5288,movie were,15,,,
5289,movie where,20,,,
5290,movie why,9,,,
5291,movie will,14,,,
5292,movie wish,9,,,
5293,movie with,92,,,
5294,movie would,9,,,
5295,movie yes,10,,,
5296,movie you,33,,,
5297,movies always,9,,,
5298,movies and,25,,,
5299,movies are,10,,,
5300,movies but,10,,,
5301,movies do,20,,,
5302,movies dont,9,,,
5303,movies for,10,,,
5304,movies go,15,,,
5305,movies have,9,,,
5306,movies he,10,,,
5307,movies i,88,,,
5308,movies in,14,,,
5309,movies its,10,,,
5310,movies ive,32,,,
5311,movies jokes,9,,,
5312,movies like,34,,,
5313,movies need,9,,,
5314,movies of,20,,,
5315,movies out,10,,,
5316,movies so,14,,,
5317,movies that,35,,,
5318,movies the,30,,,
5319,movies this,15,,,
5320,movies today,10,,,
5321,movies where,15,,,
5322,movies you,19,,,
5323,mr and,10,,,
5324,mr cooper,10,,,
5325,mr greene,30,,,
5326,mr redemption,10,,,
5327,mt fuji,18,,,
5328,much a,104,,,
5329,much about,15,,,
5330,much and,15,,,
5331,much as,40,,,
5332,much attention,9,,,
5333,much better,68,,,
5334,much for,10,,,
5335,much fun,19,,,
5336,much i,55,,,
5337,much in,20,,,
5338,much it,15,,,
5339,much its,10,,,
5340,much like,24,,,
5341,much more,49,,,
5342,much of,50,,,
5343,much on,20,,,
5344,much over,15,,,
5345,much potential,15,between,,
5346,much promise,10,between,,
5347,much raunchy,10,,,
5348,much sense,10,negative,,
5349,much so,20,,,
5350,much the,10,,,
5351,much to,44,,,
5352,munn a,15,,,
5353,munn is,28,,,
5354,munn look,15,,,
5355,music and,10,between,,
5356,musing and,10,,,
5357,must admit,10,between,,
5358,must be,27,,,
5359,must have,20,,,
5360,must say,9,,,
5361,must see,14,,,
5362,my  y,29,,,
5363,my  yea,24,,,
5364,my advice,10,,,
5365,my attention,10,,,
5366,my brother,9,,,
5367,my daughter,14,,,
5368,my entire,10,,,
5369,my expectation,10,between,,
5370,my eyes,20,,,
5371,my family,20,,,
5372,my fav,40,,,
5373,my favorite,20,positive,,
5374,my favourite,15,positive,,
5375,my first,10,,,
5376,my friend,34,,,
5377,my friends,15,,,
5378,my head,10,,,
5379,my interest,9,,,
5380,my kid,20,,,
5381,my kids,14,,,
5382,my life,35,,,
5383,my love,9,,,
5384,my mind,10,,,
5385,my mom,10,,,
5386,my money,15,between,,
5387,my opinion,24,,,
5388,my pants,10,,,
5389,my phone,20,,,
5390,my rating,10,,,
5391,my review,10,,,
5392,my seat,10,,,
5393,my sister,14,,,
5394,my son,15,,,
5395,my taste,10,,,
5396,my time,30,,,
5397,my top,8,,,
5398,my word,9,,,
5399,myself i,15,,,
5400,myself in,10,,,
5401,myself the,10,,,
5402,mystery the,10,,,
5403,mystery to,10,,,
5404,n word,10,,,
5405,nailed this,9,positive,,
5406,name is,10,,,
5407,named aiden,10,,,
5408,named mr,10,,,
5409,nanny for,15,,,
5410,natalie dormer,189,,,
5411,natalie dormers,20,,,
5412,nation  i,9,,,
5413,near the,19,,,
5414,nearly as,17,,,
5415,nearly enough,10,,,
5416,neat twist,10,,,
5417,necessary and,9,,,
5418,need a,24,,,
5419,need of,15,,,
5420,need some,10,between,,
5421,need to,78,,,
5422,needed to,25,,,
5423,needs a,20,between,,
5424,needs to,58,between,,
5425,negative reviews,19,,,
5426,never a,28,,,
5427,never be,24,,,
5428,never been,9,negative,,
5429,never comes,8,negative,,
5430,never fully,14,negative,,
5431,never go,15,,,
5432,never know,10,,,
5433,never makes,9,negative,,
5434,never really,49,negative,,
5435,never saw,10,negative,,
5436,never seems,10,negative,,
5437,never seen,19,negative,,
5438,never watch,10,,,
5439,new  daddy,10,,,
5440,new and,10,,,
5441,new low,20,negative,,
5442,new orleans,19,,,
5443,new to,9,,,
5444,new what,10,,,
5445,new year,15,,,
5446,new york,30,,,
5447,next the,10,,,
5448,next to,20,,,
5449,nice plate,9,,,
5450,nice to,14,,,
5451,nicely as,10,,,
5452,nick antosca,10,,,
5453,night and,19,,,
5454,night in,20,,,
5455,night is,9,,,
5456,night the,10,,,
5457,night with,10,,,
5458,niro a,113,,,
5459,niro actually,10,,,
5460,niro an,75,,,
5461,niro and,68,,,
5462,niro at,11,,,
5463,niro be,10,,,
5464,niro has,10,,,
5465,niro i,65,,,
5466,niro in,10,,,
5467,niro is,43,,,
5468,niro to,10,,,
5469,niro was,9,,,
5470,niro who,10,,,
5471,niros career,10,,,
5472,niros cv,8,,,
5473,no apparent,9,between,,
5474,no better,10,,,
5475,no development,10,,,
5476,no different,9,between,,
5477,no idea,19,between,,
5478,no laughs,10,negative,,
5479,no matter,10,,,
5480,no mistake,10,,,
5481,no need,9,between,,
5482,no no,11,,,
5483,no one,40,,,
5484,no other,10,,,
5485,no purpose,9,between,,
5486,no real,49,between,,
5487,no reason,29,between,,
5488,no redeeming,10,between,,
5489,no reservations,14,,,
5490,no sense,20,negative,,
5491,no something,8,,,
5492,no substance,10,negative,,
5493,no thank,9,negative,,
5494,no two,14,,,
5495,nominated for,10,,,
5496,none of,55,,,
5497,norm and,10,,,
5498,norm is,15,,,
5499,norm of,125,,,
5500,normally i,10,,,
5501,north is,60,,,
5502,north was,10,,,
5503,norton and,8,,,
5504,not a,384,negative,,
5505,not all,50,negative,,
5506,not amusing,10,negative,,
5507,not an,25,negative,,
5508,not any,10,negative,,
5509,not as,74,negative,,
5510,not at,9,negative,,
5511,not bad,23,between,,
5512,not be,75,,,
5513,not because,10,,,
5514,not believable,9,negative,,
5515,not care,15,,,
5516,not do,15,,,
5517,not downright,9,,,
5518,not enough,38,negative,,
5519,not even,65,negative,,
5520,not expecting,10,between,,
5521,not explained,10,negative,,
5522,not for,25,,,
5523,not funny,47,negative,,
5524,not go,68,,,
5525,not going,18,,,
5526,not good,27,negative,,
5527,not great,42,negative,,
5528,not have,25,negative,,
5529,not having,9,negative,,
5530,not high,10,negative,,
5531,not horrible,10,between,,
5532,not i,75,,,
5533,not in,50,,,
5534,not just,53,,,
5535,not kid,9,,,
5536,not know,29,between,,
5537,not knowing,10,negative,,
5538,not laugh,19,,,
5539,not least,10,between,,
5540,not like,25,,,
5541,not long,18,,,
5542,not much,40,negative,,
5543,not nearly,14,negative,,
5544,not one,34,negative,,
5545,not only,45,negative,,
5546,not part,10,,,
5547,not pretty,9,negative,,
5548,not really,55,negative,,
5549,not remember,10,between,,
5550,not save,10,,,
5551,not scary,25,,,
5552,not see,30,between,,
5553,not seen,15,between,,
5554,not so,50,,,
5555,not sure,57,between,,
5556,not take,10,,,
5557,not terrible,15,between,,
5558,not that,44,,,
5559,not the,83,,,
5560,not think,10,between,,
5561,not this,10,,,
5562,not to,95,,,
5563,not too,24,between,,
5564,not trying,10,,,
5565,not used,10,,,
5566,not very,30,,,
5567,not what,10,,,
5568,not worth,14,negative,,
5569,nothing about,15,,,
5570,nothing but,24,,,
5571,nothing else,15,,,
5572,nothing for,8,,,
5573,nothing from,10,between,,
5574,nothing in,10,,,
5575,nothing more,29,between,,
5576,nothing new,23,negative,,
5577,nothing or,15,,,
5578,nothing original,10,negative,,
5579,nothing really,10,negative,,
5580,nothing special,10,,,
5581,nothing to,40,negative,,
5582,nothing unexpected,10,negative,,
5583,now a,55,,,
5584,now and,10,,,
5585,now for,10,,,
5586,now i,97,,,
5587,now if,15,,,
5588,now in,10,,,
5589,now is,10,,,
5590,now it,28,,,
5591,now its,17,,,
5592,now that,48,,,
5593,now we,10,,,
5594,now what,39,,,
5595,now whats,14,,,
5596,numerous other,9,,,
5597,obvious and,10,,,
5598,occasional laughs,18,between,,
5599,occulus i,15,,,
5600,of  an,9,,,
5601,of  bu,10,,,
5602,of  o,6,,,
5603,of  rainbow,11,,,
5604,of a,744,,,
5605,of acting,15,,,
5606,of actor,10,,,
5607,of adam,20,,,
5608,of all,42,,,
5609,of an,85,,,
5610,of any,10,,,
5611,of aokigahara,10,,,
5612,of as,10,,,
5613,of bad,25,,,
5614,of been,10,,,
5615,of being,45,,,
5616,of both,10,,,
5617,of brad,40,,,
5618,of bradley,29,,,
5619,of build,15,,,
5620,of burnt,9,,,
5621,of chef,10,,,
5622,of comedy,24,,,
5623,of cooking,10,,,
5624,of cooper,10,,,
5625,of course,55,,,
5626,of crap,10,,,
5627,of critics,9,,,
5628,of crud,10,,,
5629,of culinary,10,,,
5630,of daddy,15,,,
5631,of daddys,9,,,
5632,of de,55,,,
5633,of dialogue,15,,,
5634,of different,10,,,
5635,of dirty,15,,,
5636,of disappointing,10,between,,
5637,of divorce,10,,,
5638,of dog,10,,,
5639,of every,25,,,
5640,of excellence,10,between,,
5641,of excrement,7,,,
5642,of falling,10,between,,
5643,of ferrell,20,,,
5644,of few,10,,,
5645,of film,40,,,
5646,of flat,10,negative,,
5647,of food,49,,,
5648,of four,10,,,
5649,of fun,30,between,,
5650,of funny,20,between,,
5651,of genuine,10,between,,
5652,of good,10,between,,
5653,of gore,10,,,
5654,of great,10,between,,
5655,of hart,10,,,
5656,of her,75,,,
5657,of high,10,between,,
5658,of hilarious,10,,,
5659,of hilarity,13,,,
5660,of himself,19,,,
5661,of his,100,,,
5662,of hollywood,20,,,
5663,of hollywoods,10,,,
5664,of horror,65,,,
5665,of hot,20,,,
5666,of hotel,10,,,
5667,of hours,15,,,
5668,of how,15,,,
5669,of humor,20,,,
5670,of imagination,10,,,
5671,of in,65,,,
5672,of insight,10,,,
5673,of it,262,,,
5674,of its,171,,,
5675,of january,9,,,
5676,of japan,20,,,
5677,of japanese,15,,,
5678,of jokes,14,,,
5679,of jump,35,,,
5680,of jumps,9,,,
5681,of just,15,,,
5682,of ken,19,,,
5683,of kevin,15,,,
5684,of laugh,55,,,
5685,of laughs,32,,,
5686,of making,10,,,
5687,of me,30,,,
5688,of mediocrity,10,negative,,
5689,of miami,20,,,
5690,of moments,15,,,
5691,of money,40,,,
5692,of movie,59,,,
5693,of movies,19,,,
5694,of mt,11,,,
5695,of my,100,,,
5696,of not,15,,,
5697,of note,9,,,
5698,of now,10,,,
5699,of occulus,10,,,
5700,of old,10,,,
5701,of one,15,,,
5702,of other,30,,,
5703,of others,15,,,
5704,of people,25,,,
5705,of perfection,15,between,,
5706,of place,15,,,
5707,of plot,10,,,
5708,of potential,15,between,,
5709,of realism,10,,,
5710,of recent,10,,,
5711,of red,10,,,
5712,of robert,13,,,
5713,of role,10,,,
5714,of rope,10,,,
5715,of s,335,,,
5716,of sara,15,,,
5717,of scares,10,,,
5718,of screen,15,,,
5719,of screenwriters,9,,,
5720,of seeing,15,,,
5721,of shit,10,negative,,
5722,of show,10,,,
5723,of silly,15,negative,,
5724,of star,10,,,
5725,of story,9,,,
5726,of such,25,,,
5727,of suicide,20,,,
5728,of talent,15,between,,
5729,of ten,13,,,
5730,of that,40,,,
5731,of the,1960,,,
5732,of their,60,,,
5733,of them,89,,,
5734,of these,38,,,
5735,of thing,15,,,
5736,of things,10,,,
5737,of this,189,,,
5738,of those,87,,,
5739,of thrones,25,between,,
5740,of time,79,,,
5741,of times,10,,,
5742,of tone,10,,,
5743,of top,9,,,
5744,of trees,10,,,
5745,of trying,10,,,
5746,of two,29,,,
5747,of us,60,,,
5748,of using,10,,,
5749,of various,10,,,
5750,of very,10,,,
5751,of view,10,,,
5752,of visual,10,,,
5753,of watching,10,,,
5754,of way,10,,,
5755,of what,35,,,
5756,of which,30,,,
5757,of why,8,,,
5758,of will,23,,,
5759,of work,15,,,
5760,of you,88,,,
5761,of your,53,,,
5762,off a,35,,,
5763,off at,15,,,
5764,off each,25,,,
5765,off her,10,,,
5766,off i,40,,,
5767,off of,20,,,
5768,off on,15,,,
5769,off the,40,,,
5770,off to,25,,,
5771,offer a,15,,,
5772,offer to,10,,,
5773,offered a,10,,,
5774,offers a,15,,,
5775,often makes,10,,,
5776,often the,15,,,
5777,oh and,40,,,
5778,oh no,9,,,
5779,oh well,10,,,
5780,ok for,20,between,,
5781,ok so,10,,,
5782,ok this,9,,,
5783,ok to,24,between,,
5784,okay a,15,,,
5785,okay of,8,,,
5786,okay the,14,,,
5787,okay to,10,between,,
5788,okay with,15,between,,
5789,old and,9,,,
5790,old army,10,,,
5791,old boy,10,,,
5792,old fool,7,,,
5793,old he,8,,,
5794,old i,25,,,
5795,old man,23,,,
5796,old quickly,10,,,
5797,old son,8,,,
5798,old virgin,8,,,
5799,olivia munn,64,,,
5800,om de,20,,,
5801,omar sy,30,,,
5802,on  i,18,,,
5803,on a,693,,,
5804,on about,20,,,
5805,on all,20,,,
5806,on an,329,,,
5807,on and,292,,,
5808,on any,10,,,
5809,on as,70,,,
5810,on at,19,,,
5811,on blu,15,,,
5812,on both,10,,,
5813,on but,45,,,
5814,on cable,10,,,
5815,on camera,10,,,
5816,on cruise,9,,,
5817,on de,36,,,
5818,on display,15,,,
5819,on down,10,,,
5820,on dvd,14,,,
5821,on each,10,,,
5822,on earth,8,,,
5823,on even,19,,,
5824,on every,19,,,
5825,on film,22,,,
5826,on food,10,,,
5827,on for,69,,,
5828,on going,9,,,
5829,on has,15,,,
5830,on having,10,,,
5831,on her,25,,,
5832,on here,10,,,
5833,on his,45,,,
5834,on how,25,,,
5835,on i,549,,,
5836,on if,30,,,
5837,on in,140,,,
5838,on is,176,,,
5839,on its,54,,,
5840,on jump,10,,,
5841,on just,20,,,
5842,on many,15,,,
5843,on my,10,,,
5844,on not,19,,,
5845,on offer,10,,,
5846,on one,10,,,
5847,on out,15,,,
5848,on par,10,,,
5849,on point,9,,,
5850,on really,10,,,
5851,on rotten,22,,,
5852,on sara,15,,,
5853,on screen,30,,,
5854,on so,45,,,
5855,on some,10,,,
5856,on that,83,,,
5857,on the,511,,,
5858,on their,20,,,
5859,on this,105,,,
5860,on top,10,,,
5861,on wahlberg,15,,,
5862,on what,35,,,
5863,on which,25,,,
5864,on why,15,,,
5865,on with,55,,,
5866,on you,53,,,
5867,on your,38,,,
5868,once a,54,,,
5869,once again,25,,,
5870,once and,10,,,
5871,once in,9,,,
5872,once or,10,,,
5873,once the,10,,,
5874,one  ,94,,,
5875,one  i,21,,,
5876,one  thi,10,,,
5877,one a,170,,,
5878,one and,45,,,
5879,one another,20,,,
5880,one as,10,,,
5881,one better,10,,,
5882,one bradley,10,,,
5883,one but,24,,,
5884,one can,15,,,
5885,one character,14,,,
5886,one did,15,,,
5887,one dimensional,15,negative,,
5888,one else,25,,,
5889,one for,35,,,
5890,one great,8,between,,
5891,one has,10,,,
5892,one in,75,,,
5893,one it,25,,,
5894,one its,14,,,
5895,one left,14,,,
5896,one look,10,,,
5897,one might,10,,,
5898,one of,366,,,
5899,one or,10,,,
5900,one point,20,,,
5901,one redeeming,10,between,,
5902,one scene,15,,,
5903,one seems,10,,,
5904,one so,40,,,
5905,one star,17,,,
5906,one that,45,,,
5907,one the,49,,,
5908,one then,10,,,
5909,one thing,20,,,
5910,one time,15,,,
5911,one to,55,,,
5912,one too,10,,,
5913,one up,15,,,
5914,one was,34,,,
5915,one when,10,,,
5916,one who,39,,,
5917,one with,25,,,
5918,one would,22,,,
5919,ones a,40,,,
5920,ones and,20,,,
5921,ones in,10,,,
5922,ones to,10,,,
5923,only a,50,,,
5924,only be,25,,,
5925,only because,10,,,
5926,only bright,10,,,
5927,only contacts,7,,,
5928,only do,15,,,
5929,only does,10,,,
5930,only every,10,,,
5931,only has,10,,,
5932,only in,10,,,
5933,only is,10,,,
5934,only january,6,,,
5935,only on,30,,,
5936,only one,25,,,
5937,only real,14,,,
5938,only really,10,,,
5939,only reason,24,between,,
5940,only the,29,,,
5941,only thing,24,,,
5942,only to,35,,,
5943,only way,20,,,
5944,only works,9,between,,
5945,op  critic,8,,,
5946,op de,15,,,
5947,op een,8,,,
5948,op metacritic,9,,,
5949,op rotten,9,,,
5950,open to,10,,,
5951,open up,10,,,
5952,opening credits,10,,,
5953,opinion  ,10,,,
5954,opinion it,10,,,
5955,or a,883,,,
5956,or adult,20,,,
5957,or adults,15,,,
5958,or an,214,,,
5959,or any,70,,,
5960,or anyone,25,,,
5961,or anything,20,,,
5962,or are,14,,,
5963,or as,25,,,
5964,or at,20,,,
5965,or bold,10,between,,
5966,or by,10,,,
5967,or cant,15,between,,
5968,or dormer,10,,,
5969,or either,20,between,,
5970,or end,10,,,
5971,or even,50,,,
5972,or feel,10,,,
5973,or for,64,,,
5974,or have,15,,,
5975,or he,75,,,
5976,or his,63,,,
5977,or if,20,,,
5978,or interesting,10,negative,,
5979,or just,20,,,
5980,or king,8,,,
5981,or lost,10,,,
5982,or maybe,10,,,
5983,or me,128,,,
5984,or not,55,,,
5985,or occasional,9,,,
5986,or original,10,,,
5987,or other,24,,,
5988,or plot,10,,,
5989,or real,20,,,
5990,or simply,10,,,
5991,or so,144,,,
5992,or some,104,,,
5993,or something,30,,,
5994,or story,25,,,
5995,or the,603,,,
5996,or their,35,,,
5997,or this,117,,,
5998,or those,43,,,
5999,or to,40,,,
6000,or twice,10,,,
6001,or two,25,,,
6002,or will,20,,,
6003,or with,25,,,
6004,or worst,15,negative,,
6005,or you,80,,,
6006,or your,30,,,
6007,order for,10,,,
6008,order to,40,,,
6009,original and,25,,,
6010,original film,15,between,,
6011,original ride,12,,,
6012,original the,10,,,
6013,original to,10,,,
